N,backend,solver,repeat,time_s
200,cpu,sor,5,3.71148525
200,cpu,sor,6,3.804850958
200,cpu,sor,7,2.841445417
200,cpu,sor,8,3.457519625
200,cpu,sor,9,3.967988167
200,cpu,sor,10,3.439537625
200,cpu,sor,11,3.395330209
200,cpu,sor,12,3.77453425
200,cpu,sor,13,4.237542333
200,cpu,sor,14,3.2717675
200,cpu,sor,15,3.942227417
200,cpu,sor,16,3.974460208
200,cpu,sor,17,3.102798708
200,cpu,sor,18,3.78524275
200,cpu,sor,19,3.8379125
200,cpu,sor,20,3.122739667
40,cpu,rb_sor,1,0.069548208
40,cpu,rb_sor,2,0.066005958
40,cpu,rb_sor,3,0.062382417
40,cpu,rb_sor,4,0.061583708
40,cpu,rb_sor,5,0.0679945
40,cpu,rb_sor,6,0.068841542
40,cpu,rb_sor,7,0.067389666
40,cpu,rb_sor,8,0.0640065
40,cpu,rb_sor,9,0.066677583
40,cpu,rb_sor,10,0.067356209
40,cpu,rb_sor,11,0.071663959
40,cpu,rb_sor,12,0.06971175
40,cpu,rb_sor,13,0.064362208
40,cpu,rb_sor,14,0.067125583
40,cpu,rb_sor,15,0.068947125
40,cpu,rb_sor,16,0.071045292
40,cpu,rb_sor,17,0.064445458
40,cpu,rb_sor,18,0.0627755
40,cpu,rb_sor,19,0.059465541
40,cpu,rb_sor,20,0.063837917
60,cpu,rb_sor,1,0.384480833
60,cpu,rb_sor,2,0.146773584
60,cpu,rb_sor,3,0.144845333
60,cpu,rb_sor,4,0.137915375
60,cpu,rb_sor,5,0.12084525
60,cpu,rb_sor,6,0.122048083
60,cpu,rb_sor,7,0.128555916
60,cpu,rb_sor,8,0.127336333
60,cpu,rb_sor,9,0.12506
60,cpu,rb_sor,10,0.1196305
60,cpu,rb_sor,11,0.115756459
60,cpu,rb_sor,12,0.116302292
60,cpu,rb_sor,13,0.124490416
60,cpu,rb_sor,14,0.118861583
60,cpu,rb_sor,15,0.127945042
60,cpu,rb_sor,16,0.135291084
60,cpu,rb_sor,17,0.132221208
60,cpu,rb_sor,18,0.134569541
60,cpu,rb_sor,19,0.129316834
60,cpu,rb_sor,20,0.119032583
80,cpu,rb_sor,1,0.209087958
80,cpu,rb_sor,2,0.215374292
80,cpu,rb_sor,3,0.204906625
80,cpu,rb_sor,4,0.2294375
80,cpu,rb_sor,5,0.2140285
80,cpu,rb_sor,6,0.207619542
80,cpu,rb_sor,7,0.216811667
80,cpu,rb_sor,8,0.21170625
80,cpu,rb_sor,9,0.195112625
80,cpu,rb_sor,10,0.204069125
80,cpu,rb_sor,11,0.218715208
80,cpu,rb_sor,12,0.219605375
80,cpu,rb_sor,13,0.189874875
80,cpu,rb_sor,14,0.410445416
80,cpu,rb_sor,15,0.18738675
80,cpu,rb_sor,16,0.203331667
80,cpu,rb_sor,17,0.197917833
80,cpu,rb_sor,18,0.189044792
80,cpu,rb_sor,19,0.201278375
80,cpu,rb_sor,20,0.207334291
100,cpu,rb_sor,1,0.314876084
100,cpu,rb_sor,2,0.297969209
100,cpu,rb_sor,3,0.292021834
100,cpu,rb_sor,4,0.283330458
100,cpu,rb_sor,5,0.278648625
100,cpu,rb_sor,6,0.292023875
100,cpu,rb_sor,7,0.517317333
100,cpu,rb_sor,8,0.324615375
100,cpu,rb_sor,9,0.292532625
100,cpu,rb_sor,10,0.303112083
100,cpu,rb_sor,11,0.287962292
100,cpu,rb_sor,12,0.324839166
100,cpu,rb_sor,13,0.327749125
100,cpu,rb_sor,14,0.298325084
100,cpu,rb_sor,15,0.300396209
100,cpu,rb_sor,16,0.2992355
100,cpu,rb_sor,17,0.284796166
100,cpu,rb_sor,18,0.28244975
100,cpu,rb_sor,19,0.487826708
100,cpu,rb_sor,20,0.313861875
120,cpu,rb_sor,1,0.361125917
120,cpu,rb_sor,2,0.399713875
120,cpu,rb_sor,3,0.420719625
120,cpu,rb_sor,4,0.598978333
120,cpu,rb_sor,5,0.39133225
120,cpu,rb_sor,6,0.361000583
120,cpu,rb_sor,7,0.40055975
120,cpu,rb_sor,8,0.365071333
120,cpu,rb_sor,9,0.430266
120,cpu,rb_sor,10,0.619589167
120,cpu,rb_sor,11,0.395135834
120,cpu,rb_sor,12,0.400441542
120,cpu,rb_sor,13,0.400090583
120,cpu,rb_sor,14,0.391414583
120,cpu,rb_sor,15,0.400992208
120,cpu,rb_sor,16,0.626536
120,cpu,rb_sor,17,0.410626833
120,cpu,rb_sor,18,0.399526791
120,cpu,rb_sor,19,0.361020083
120,cpu,rb_sor,20,0.426409459
140,cpu,rb_sor,1,0.537329167
140,cpu,rb_sor,2,0.52728975
140,cpu,rb_sor,3,0.510631125
140,cpu,rb_sor,4,0.755262083
140,cpu,rb_sor,5,0.519007083
140,cpu,rb_sor,6,0.583743333
140,cpu,rb_sor,7,0.772675917
140,cpu,rb_sor,8,0.534371708
140,cpu,rb_sor,9,0.534566709
140,cpu,rb_sor,10,0.499061625
140,cpu,rb_sor,11,0.711559
140,cpu,rb_sor,12,0.506440542
140,cpu,rb_sor,13,0.537933375
140,cpu,rb_sor,14,0.500745125
140,cpu,rb_sor,15,0.724609208
140,cpu,rb_sor,16,0.518084334
140,cpu,rb_sor,17,0.458595541
140,cpu,rb_sor,18,0.468116834
140,cpu,rb_sor,19,0.68567025
140,cpu,rb_sor,20,0.505556958
160,cpu,rb_sor,1,0.807066417
160,cpu,rb_sor,2,0.623862875
160,cpu,rb_sor,3,0.897667416
160,cpu,rb_sor,4,0.668297791
160,cpu,rb_sor,5,0.827847917
160,cpu,rb_sor,6,0.603320917
160,cpu,rb_sor,7,0.605063458
160,cpu,rb_sor,8,0.861775584
160,cpu,rb_sor,9,0.611865125
160,cpu,rb_sor,10,0.871167917
160,cpu,rb_sor,11,0.688486625
160,cpu,rb_sor,12,0.878961416
160,cpu,rb_sor,13,0.638654417
160,cpu,rb_sor,14,0.598065792
160,cpu,rb_sor,15,0.806160125
160,cpu,rb_sor,16,0.621228458
160,cpu,rb_sor,17,0.567817459
160,cpu,rb_sor,18,0.846841
160,cpu,rb_sor,19,0.640887292
160,cpu,rb_sor,20,0.873820375
180,cpu,rb_sor,1,0.952646416
180,cpu,rb_sor,2,0.962262166
180,cpu,rb_sor,3,0.726253333
180,cpu,rb_sor,4,0.988477292
180,cpu,rb_sor,5,0.978633208
180,cpu,rb_sor,6,0.696998708
180,cpu,rb_sor,7,0.991559875
180,cpu,rb_sor,8,0.752374958
180,cpu,rb_sor,9,0.983682208
180,cpu,rb_sor,10,1.017243375
180,cpu,rb_sor,11,0.734229625
180,cpu,rb_sor,12,0.927370125
180,cpu,rb_sor,13,0.773621416
180,cpu,rb_sor,14,0.963181917
180,cpu,rb_sor,15,0.736062209
180,cpu,rb_sor,16,0.952906166
180,cpu,rb_sor,17,0.998568833
180,cpu,rb_sor,18,0.807736875
180,cpu,rb_sor,19,0.990323834
180,cpu,rb_sor,20,0.989796417
200,cpu,rb_sor,1,1.086337166
200,cpu,rb_sor,2,1.173902416
200,cpu,rb_sor,3,1.170124708
200,cpu,rb_sor,4,1.073096834
200,cpu,rb_sor,5,1.08637275
200,cpu,rb_sor,6,1.147011375
200,cpu,rb_sor,7,1.168180541
200,cpu,rb_sor,8,0.938966041
200,cpu,rb_sor,9,1.09503875
200,cpu,rb_sor,10,1.083876666
200,cpu,rb_sor,11,1.047015417
200,cpu,rb_sor,12,1.076692792
200,cpu,rb_sor,13,1.098148709
200,cpu,rb_sor,14,0.876577209
200,cpu,rb_sor,15,1.057578584
200,cpu,rb_sor,16,1.107720084
200,cpu,rb_sor,17,1.117832334
200,cpu,rb_sor,18,1.192189208
200,cpu,rb_sor,19,1.136901792
200,cpu,rb_sor,20,0.916284667
40,cpu,multigrid,1,0.060581208
40,cpu,multigrid,2,0.057617791
40,cpu,multigrid,3,0.062074417
40,cpu,multigrid,4,0.053743208
40,cpu,multigrid,5,0.057829083
40,cpu,multigrid,6,0.053809375
40,cpu,multigrid,7,0.05674975
40,cpu,multigrid,8,0.05543525
40,cpu,multigrid,9,0.055376666
40,cpu,multigrid,10,0.050884917
40,cpu,multigrid,11,0.056182458
40,cpu,multigrid,12,0.057412792
40,cpu,multigrid,13,0.057559709
40,cpu,multigrid,14,0.056240625
40,cpu,multigrid,15,0.052307
40,cpu,multigrid,16,0.05495
40,cpu,multigrid,17,0.057190542
40,cpu,multigrid,18,0.056228417
40,cpu,multigrid,19,0.055696458
40,cpu,multigrid,20,0.057040875
60,cpu,multigrid,1,0.114524041
60,cpu,multigrid,2,0.104979542
60,cpu,multigrid,3,0.107667333
60,cpu,multigrid,4,0.109312125
60,cpu,multigrid,5,0.1080885
60,cpu,multigrid,6,0.105756958
60,cpu,multigrid,7,0.105111542
60,cpu,multigrid,8,0.115772375
60,cpu,multigrid,9,0.107125833
60,cpu,multigrid,10,0.111388208
60,cpu,multigrid,11,0.105318083
60,cpu,multigrid,12,0.101822125
60,cpu,multigrid,13,0.104652292
