N,backend,solver,repeat,time_s
10000,cpu,rb_sor,7,1308.161113667
10000,cpu,rb_sor,8,1240.123246833
10000,cpu,rb_sor,9,1005.600046041
10000,cpu,rb_sor,10,1123.979748667
10000,cpu,rb_sor,11,1299.346784041
10000,cpu,rb_sor,12,1125.578512791
10000,cpu,rb_sor,13,1113.3441655
10000,cpu,rb_sor,14,1027.280573292
10000,cpu,rb_sor,15,910.968717709
10000,cpu,rb_sor,16,1027.128558
10000,cpu,rb_sor,17,1061.387568375
10000,cpu,rb_sor,18,989.686904125
10000,cpu,rb_sor,19,1034.133934875
10000,cpu,rb_sor,20,1110.160026417
10,cpu,multigrid,1,0.012595209
10,cpu,multigrid,2,0.015822
10,cpu,multigrid,3,0.045587333
10,cpu,multigrid,4,0.03891025
10,cpu,multigrid,5,0.029693834
10,cpu,multigrid,6,0.030235334
10,cpu,multigrid,7,0.017568958
10,cpu,multigrid,8,0.012046125
10,cpu,multigrid,9,0.00988075
10,cpu,multigrid,10,0.010631917
10,cpu,multigrid,11,0.010079542
10,cpu,multigrid,12,0.010655792
10,cpu,multigrid,13,0.010456209
10,cpu,multigrid,14,0.010472791
10,cpu,multigrid,15,0.011506459
10,cpu,multigrid,16,0.011005958
10,cpu,multigrid,17,0.010367667
10,cpu,multigrid,18,0.01008
10,cpu,multigrid,19,0.011244958
10,cpu,multigrid,20,0.01041275
100,cpu,multigrid,1,0.249159583
100,cpu,multigrid,2,0.259395709
100,cpu,multigrid,3,0.245507917
100,cpu,multigrid,4,0.25737475
100,cpu,multigrid,5,0.256705791
100,cpu,multigrid,6,0.262337084
100,cpu,multigrid,7,0.256085292
100,cpu,multigrid,8,0.247338042
100,cpu,multigrid,9,0.283832917
100,cpu,multigrid,10,0.254838958
100,cpu,multigrid,11,0.251938208
100,cpu,multigrid,12,0.261553625
100,cpu,multigrid,13,0.251696584
100,cpu,multigrid,14,0.247777333
100,cpu,multigrid,15,0.265424834
100,cpu,multigrid,16,0.25392225
100,cpu,multigrid,17,0.246970083
100,cpu,multigrid,18,0.248322875
100,cpu,multigrid,19,0.256042375
100,cpu,multigrid,20,0.2437135
1000,cpu,multigrid,1,21.814738875
1000,cpu,multigrid,2,21.599227458
1000,cpu,multigrid,3,21.846958417
1000,cpu,multigrid,4,21.638562667
1000,cpu,multigrid,5,21.5455235
1000,cpu,multigrid,6,21.748856125
1000,cpu,multigrid,7,21.715150416
1000,cpu,multigrid,8,21.619762417
1000,cpu,multigrid,9,21.516983167
1000,cpu,multigrid,10,21.774968416
1000,cpu,multigrid,11,21.719862791
1000,cpu,multigrid,12,21.70901
1000,cpu,multigrid,13,22.10856975
1000,cpu,multigrid,14,22.13510675
1000,cpu,multigrid,15,21.958165709
1000,cpu,multigrid,16,21.858754792
1000,cpu,multigrid,17,21.4799755
1000,cpu,multigrid,18,22.070587833
1000,cpu,multigrid,19,21.731209708
1000,cpu,multigrid,20,21.928658709
10000,cpu,multigrid,1,589.642354125
10000,cpu,multigrid,2,592.482640958
10000,cpu,multigrid,3,592.418030417
10000,cpu,multigrid,4,592.227994042
10000,cpu,multigrid,5,592.380025625
10000,cpu,multigrid,6,592.4134385
10000,cpu,multigrid,7,592.237176084
10000,cpu,multigrid,8,593.026243625
10000,cpu,multigrid,9,593.597907583
10000,cpu,multigrid,10,592.575801042
10000,cpu,multigrid,11,594.277540292
10000,cpu,multigrid,12,592.605368292
10000,cpu,multigrid,13,592.233607208
10000,cpu,multigrid,14,593.342918833
10000,cpu,multigrid,15,592.724144667
10000,cpu,multigrid,16,592.59034575
10000,cpu,multigrid,17,592.857959833
10000,cpu,multigrid,18,592.912158833
10000,cpu,multigrid,19,594.833212625
10000,cpu,multigrid,20,593.644497291
10,metal,rb_sor,1,0.8013615
10,metal,rb_sor,2,0.744132875
10,metal,rb_sor,3,0.78476725
10,metal,rb_sor,4,0.753671208
10,metal,rb_sor,5,0.746187375
10,metal,rb_sor,6,0.754137417
10,metal,rb_sor,7,0.754373375
10,metal,rb_sor,8,0.903622083
10,metal,rb_sor,9,0.75773175
10,metal,rb_sor,10,0.737283958
10,metal,rb_sor,11,0.744142125
10,metal,rb_sor,12,0.763161875
10,metal,rb_sor,13,0.778708542
10,metal,rb_sor,14,0.752725958
10,metal,rb_sor,15,0.740213708
10,metal,rb_sor,16,0.757162125
10,metal,rb_sor,17,0.765193375
10,metal,rb_sor,18,0.745674792
10,metal,rb_sor,19,0.753488167
10,metal,rb_sor,20,0.784131083
100,metal,rb_sor,1,0.767393125
100,metal,rb_sor,2,0.763516625
100,metal,rb_sor,3,0.747009792
100,metal,rb_sor,4,0.760927625
100,metal,rb_sor,5,0.772456958
100,metal,rb_sor,6,0.749958208
100,metal,rb_sor,7,0.731834708
100,metal,rb_sor,8,0.74743775
100,metal,rb_sor,9,0.749897667
100,metal,rb_sor,10,0.75994475
100,metal,rb_sor,11,0.971349958
100,metal,rb_sor,12,0.741840125
100,metal,rb_sor,13,0.745931416
100,metal,rb_sor,14,0.74197425
100,metal,rb_sor,15,0.764933917
100,metal,rb_sor,16,0.756447708
100,metal,rb_sor,17,0.745373291
100,metal,rb_sor,18,0.757977
100,metal,rb_sor,19,0.790402542
100,metal,rb_sor,20,0.783589167
1000,metal,rb_sor,1,5.4022675
1000,metal,rb_sor,2,4.902557792
1000,metal,rb_sor,3,4.916808916
1000,metal,rb_sor,4,5.302678584
1000,metal,rb_sor,5,4.896686042
1000,metal,rb_sor,6,5.305554667
1000,metal,rb_sor,7,4.893364375
1000,metal,rb_sor,8,4.902746792
1000,metal,rb_sor,9,4.909455708
1000,metal,rb_sor,10,4.89693375
1000,metal,rb_sor,11,5.340348667
1000,metal,rb_sor,12,4.882973583
1000,metal,rb_sor,13,4.8842065
1000,metal,rb_sor,14,5.386594125
1000,metal,rb_sor,15,4.922977416
1000,metal,rb_sor,16,5.279297167
1000,metal,rb_sor,17,4.924684917
1000,metal,rb_sor,18,5.380271917
1000,metal,rb_sor,19,4.884352167
1000,metal,rb_sor,20,4.928016291
10000,metal,rb_sor,1,494.111484792
10000,metal,rb_sor,2,504.544170375
10000,metal,rb_sor,3,472.653704333
10000,metal,rb_sor,4,474.306933708
10000,metal,rb_sor,5,471.328947166
10000,metal,rb_sor,6,466.638067833
10000,metal,rb_sor,7,476.970126916
10000,metal,rb_sor,8,479.634012417
10000,metal,rb_sor,9,478.9227305
10000,metal,rb_sor,10,472.088635167
10000,metal,rb_sor,11,480.710740875
10000,metal,rb_sor,12,480.910005291
10000,metal,rb_sor,13,476.832471125
10000,metal,rb_sor,14,475.550424583
10000,metal,rb_sor,15,487.927164291
10000,metal,rb_sor,16,491.982632458
10000,metal,rb_sor,17,492.066914458
10000,metal,rb_sor,18,492.893721834
10000,metal,rb_sor,19,507.467891042
10000,metal,rb_sor,20,519.447226375
